gene	symbol	gene.name	phenotype.summary

YDR195W	REF2	RNA End Formation	NA
YDR432W	NPL3	Nuclear Protein Localization	Non-essential gene in S288C, reported essential in Sigma1278b; null mutant is sensitive to elevated temperatures, metals and multiple drugs, including rapamycin, paromomycin, tacrolimus; in systematic studies homozygous null mutant diploid shows slow growth, decreased fermentative growth, inositol auxotrophy, decreased innate thermotolerance, abnormal budding pattern and elevated sensitivity to multiple drugs, including doxorubicin, echinocandin, fenpropimorph, hygromycin B

YHR086W	NAM8	Nuclear Accommodation of Mitochondria	NA
YBL032W	HEK2	HEterogeneous nuclear rnp K-like gene	NA
YMR229C	RRP5	Ribosomal RNA Processing	NA
YDL051W	LHP1	La-Homologous Protein	NA
YNL124W	NAF1	Nuclear Assembly Factor	Essential gene; repression leads to decreased levels of mature rRNA, tRNA, snoRNA species and accumulation of aberrant RNA processing intermediates

YPL190C	NAB3	Nuclear polyAdenylated RNA-Binding	NA
YGL222C	EDC1	Enhancer of mRNA DeCapping	NA
YDR515W	SLF1	SuLFide production	NA
YKL130C	SHE2	Swi5p-dependent HO Expression	NA
YER035W	EDC2	Enhancer of mRNA DeCapping	NA
YPL184C	MRN1	Multicopy supressor of rsc nhp6	NA
YBR212W	NGR1	Negative Growth Regulatory protein	NA
YNL197C	WHI3	WHIskey	Non-essential gene; null mutant has a decreased critical cell size at START, while overexpression results in G1 arrest as large unbudded cells with decreased viability; null mutant has an invasive growth defect, decreased mating efficiency and pheromone sensitivity; null mutant is sensitive to translation elongation inhibitors, and spontaneously diploidizes due to an increased rate of whole-genome duplication; homozygous diploid null has a pseudohyphal growth defect, decreased sporulation efficiency, decreased chronological lifespan and decreased desiccation resistance, while the heterozygous null is haploinsufficient

YNL251C	NRD1	Nuclear pre-mRNA Down-regulation	Essential gene; reduction of function results in accumulation of abnormally processed mRNA, rRNA, snRNA precursors; mutants show small cell size and slow growth; overexpression increases invasive growth in Sigma1278b

YDR301W	CFT1	Cleavage Factor Two	Essential gene; conditional (ts) mutants are defective in pre-mRNA 3' end formation and poly(A) site recognition
YDL175C	AIR2	Arginine methyltransferase-Interacting RING finger protein	Non-essential gene; null mutant shows increased resistance to oxidative stress, hydroxyurea, cycloheximide, camptothecin and caffeine, but increased sensitivity to bleomycin; overexpression increases resistance to rapamycin; overexpression in Sigma1278b causes greatly increased filamentous growth

YGL171W	ROK1	Rescuer Of Kem1	NA
YGL078C	DBP3	Dead Box Protein	Non-essential gene; null mutation causes slow vegetative growth, especially at lower temperatures, and increased innate thermotolerance and oxidative stress resistance; null mutant cells have fewer 60S ribosomal subunits relative to 40S, and show increased resistance to ER stress conferred by tunicamycin
YER172C	BRR2	Bad Response to Refrigeration	Essential gene; repressible mutant displays decreased accumulation of RPS17A pre-mRNA and loss of spliced mRNA; heterozygous null mutant is haploinsufficient
YNR011C	PRP2	Pre-mRNA Processing	NA
YJL050W	MTR4	Mrna TRansport	Essential gene; depletion leads to accumulation of unprocessed RNA precursors in the nucleus; reduction-of-function mutations cause increased sensitivity to benomyl and nocodazole

YOR166C	SWT1	Synthetically lethal With Trex	NA
YLR107W	REX3	Rna EXonuclease	NA
YER107C	GLE2	GLFG LEthal	NA
YBR237W	PRP5	Pre-mRNA Processing	NA
YGL120C	PRP43	Pre-mRNA Processing	Essential gene; reduction of function leads to defective processing of 35S pre-mRNA, depletion of 27S and 20S pre-rRNAs, and buildup of ribosomal proteins in the nucleolus; a conditional (ts) mutant accumulates pre-mRNAs and excised intron lariats; overexpression causes slow growth

YKL149C	DBR1	DeBRanching	Non-essential gene; null mutant accumulates branched RNA splicing intermediates (lariat-introns); in systematic studies null mutants display slow growth, lowered competitive fitness, increased sensitivity to antifungal drugs and decreased transposition of Ty3 elements

YKL054C	DEF1	RNAPII DEgradation Factor	Non-essential gene; null mutation confers abnormal cytokinesis and meiosis; null mutant is sensitive to 4-aminofolic acid, HU, MMS, and X-rays; in large-scale studies, null mutant has reduced competitive fitness in several different media, slow fermentative growth and defective respiratory growth, enlarged cell size, and altered resistance to a variety of chemicals

YOR110W	TFC7	NA	NA
YBR049C	REB1	RNA polymerase I Enhancer Binding protein	Essential gene in strain S288C, in which conditional mutants are heat-sensitive, and reduced function mutants are sensitive to microtubule-destabilising agent benomyl; non-essential gene in strain Sigma1278b, in which null mutants are impaired in filamentous growth

YOR116C	RPO31	RNA POlymerase	NA
YDR045C	RPC11	RNA Polymerase C	Essential gene; conditional (ts) mutants show decreasing levels of tRNA; reduction-of-function mutations cause sensitivity to rapamycin and MMS, and increased chromosome instability

YJL011C	RPC17	RNA Polymerase C	Essential gene; repression leads to decreased levels of tRNA; reduction of function causes sensitivity to MMS; repression increases resistance to myriocin; heterozygous null mutant diploid is sensitive to starvation

YKL144C	RPC25	RNA Polymerase C	NA
YNL151C	RPC31	RNA Polymerase C	NA
YNR003C	RPC34	RNA Polymerase C	Essential gene; conditional (ts) mutants show decreasing levels of tRNA; mutants are sensitive to hygromycin B and Calcofluor White; haploinsufficient

YKR025W	RPC37	RNA Polymerase C	NA
YDL150W	RPC53	RNA Polymerase C	Essential gene; conditional (ts) mutants show decreasing levels of tRNA and arrest their cell cycle at G1 phase; haploinsufficient

YPR190C	RPC82	RNA Polymerase C	NA
YDL140C	RPO21	RNA POlymerase	Essential gene; reduction of function leads to slow growth, lower mRNA production and decreasing cell viability; depletion causes inositol auxotrophy

YOR151C	RPB2	RNA Polymerase B	NA
YOL005C	RPB11	RNA Polymerase B	NA
YGL070C	RPB9	RNA Polymerase B	Non-essential gene; null mutation causes abnormally long transcripts; null mutant shows inositol auxotrophy, increased heat and cold sensitivity, and sensitivity to multiple chemicals, including caffeine, hygromycin B, formamide, mycophenolic acid, cisplatin; null mutant is also defective in anaerobic and respiratory growth and produces abnormally elongated buds

YDR404C	RPB7	RNA Polymerase B	Essential gene; conditional mutations result in sensitivity to cicloheximide and paromomycin; haploinsufficient, heterozygous null mutant diploid produces large cells and is sensitive to starvation, heat, oxidative stress; reduction of function causes shortened telomeres

YJL140W	RPB4	RNA Polymerase B	NA
YIL021W	RPB3	RNA Polymerase B	NA
YDL115C	IWR1	Interacts With RNA polymerase II	NA
YOR341W	RPA190	RNA Polymerase A	Essential gene; conditional (ts) mutations lead to decreasing levels of rRNA; heterozygous null mutant diploid forms very small cells; repression causes opi- phenotype (excretion of inositol in the absence of inositol and choline)

YPR010C	RPA135	RNA Polymerase A	NA
YJR063W	RPA12	RNA Polymerase A	NA
YDR156W	RPA14	RNA Polymerase A	NA
YJL148W	RPA34	RNA Polymerase A	NA
YOR340C	RPA43	RNA Polymerase A	NA
YNL248C	RPA49	RNA Polymerase A	NA
YDR026C	NSI1	NTS1 SIlencing protein 1	NA
YHR143W-A	RPC10	RNA Polymerase C	Essential gene; conditional (ts) mutations lead to decreasing levels of mRNA, rRNA and tRNA; heterozygous null mutant diploid produces very large cells; repression causes chromosome instability

YOR210W	RPB10	RNA Polymerase B	Essential gene; conditional (ts) mutations lead to decreased production of mRNA and rRNA; haploinsufficient

YOR224C	RPB8	RNA Polymerase B	Essential gene; conditional (ts) mutations cause defects in RNA accumulation; haploinsufficient

YPR187W	RPO26	RNA POlymerase	Essential gene; conditional (ts) mutants have lower accumulation of rRNA, mRNA and tRNA and show inositol auxotrophy

YBR154C	RPB5	RNA Polymerase B	Essential gene; conditional (ts) mutants show decreased production of mRNA, rRNA and tRNA; also show elevated chromosome instability and sensitivity to azauracil and mycophenolic acid; haploinsuficient, heterozygous null mutant diploids display very small cell size and decreased competitive fitness; reduction of function results in increased telomere length

YNL113W	RPC19	RNA Polymerase C	NA
YPR110C	RPC40	RNA Polymerase C	NA
YNR052C	POP2	PGK promoter directed OverProduction	NA
YDR088C	SLU7	Synergistic Lethal with U5 snRNA	Essential gene; conditional mutant displays heat- and cold-sensitivity, and accumulates an abnormal splicing intermediate at permissive temperature; in a large-scale study, the diploid heterozygous null mutant is sensitive to a human cationic antimicrobial peptide derivative

YDR207C	UME6	Unscheduled Meiotic gene Expression	Non-essential gene; null mutant glows slowly, has decreased ethanol tolerance, abnormal morphology of vacuoles and lipid particles, shortened lifespan, and is sensitive to DNA-damaging agents, caffeine, metals, heat, osmotic stress, desiccation, antimalarial quinine, and TOR inhibitor rapamycin; diploid mutants are defective in sporulation

YDL213C	NOP6	NucleOlar Protein	NA
YNL022C	RCM1	NA	NA
YNL061W	NOP2	NucleOlar Protein	Essential gene; reduction of function results in defects in pre-rRNA processing that leads to decreased production of mature rRNA and 60S ribosomal subunits

YLR268W	SEC22	SECretory	Non-essential gene; null mutant is defective in maturation of cell wall-bound proteins and shows increased sensitivity to cell wall affecting chemicals (Calcofluor White, caffeine, hygromycin B) and other factors (zinc, cadmium, benomyl, MMS, UV)

YIR034C	LYS1	LYSine requiring	NA
YNR050C	LYS9	LYSine requiring	NA
YER043C	SAH1	S-Adenosyl-l-Homocysteine hydrolase	NA
YBL024W	NCL1	NuCLear protein	Non-essential gene; null mutant is sensitive to elevated temperatures, oxidative stress, and multiple chemicals, including caffeine, benomyl, azole drugs, MMS, DMSO, and shows increased cell size and reduced transposition of Ty elements; null mutation also increases resistance to spermine and tunicamycin; overexpression causes resistance to rapamycin

YKR069W	MET1	METhionine requiring	NA
YOL052C	SPE2	SPErmidine auxotroph	NA
YGR001C	EFM5	Elongation Factor Methyltransferase	Non-essential gene; null mutant has decreased competitive fitness in minimal medium; null mutant displays decreased trimethylation of eEF1A at K79

YNL063W	MTQ1	Methyltransferase	NA
YLR285W	NNT1	Nicotinamide N-methylTransferase	NA
YML005W	TRM12	TRna Methyltransferase	NA
YBR271W	EFM2	Elongation Factor Methyltransferase	NA
YJR129C	EFM3	Elongation Factor Methyltransferase	NA
YDR140W	MTQ2	Methyltransferase	NA
YNL092W	NA	NA	NA
YPL273W	SAM4	S-AdenosylMethionine metabolism	NA
YDR502C	SAM2	S-AdenosylMethionine requiring	NA
YLR180W	SAM1	S-AdenosylMethionine requiring	NA
YNL003C	PET8	PETite colonies	NA
YHR209W	CRG1	Cantharidin Resistance Gene	Non-essential gene; null mutation confers sensitivity and overexpression confers resistance to terpenoid blistering agent cantharidin; in systematic studies mutants are sensitive to oxidative stress
YHL030W	ECM29	ExtraCellular Mutant	NA
YDL073W	AHK1	Associated with HKr1	NA
YBL047C	EDE1	EH Domains and Endocytosis	NA
YLR423C	ATG17	AuTophaGy related	Non-essential gene; null mutant is defective in autophagy, mitophagy and pexophagy; shows slow growth rate, decreased lifespan and sensitivity to nitrogen starvation

YML029W	USA1	U1-Snp1 Associating	NA
YLR128W	DCN1	Defective in Cullin Neddylation	Non-essential gene; null mutant is defective in neddylation (covalent attachment of Rub1p) of reporter proteins; in systematic studies null mutation lowers competitive fitness and overexpression causes chromosome instability
YPR058W	YMC1	Yeast Mitochondrial Carrier	NA
YPR175W	DPB2	DNA Polymerase B subunit 2	Essential gene; conditional (ts) mutants grow slowly even at permissive temperature and form abnormally shaped (dumbbell) cells; repression causes defects in cell cycle progression though S phase and elevated chromosome rearrangements and loss
YOR207C	RET1	Reduced Efficiency of Termination	NA
YDR113C	PDS1	Precocious Dissociation of Sisters	Non-essential gene; scored as essential in systematic study, likely due to chromosome segregation defect; null mutant displays increased rate of gross chromosomal rearrangement (GCR); overexpression causes abnormal cell cycle progression and increased cell size; in large-scale studies, overexpression causes increased invasive growth, slow vegetative growth, and cell cycle abnormalities

YKR043C	SHB17	SedoHeptulose 1,7-Bisphosphatase	NA
YLR404W	SEI1	SEIpin	Non-essential gene; null mutant has abnormally shaped lipid droplets; null mutant diploid is sensitive to tunicamycin and DTT, shows lower rate of anaerobic growth and decreased sporulation

YGL252C	RTG2	ReTroGrade regulation	NA
YOR008C	SLG1	Synthetic Lethal with Gap	NA
YNL283C	WSC2	cell Wall integrity and Stress response Component	NA
YOL105C	WSC3	cell Wall integrity and Stress response Component	NA
YGR098C	ESP1	Extra Spindle Pole bodies	NA
YMR111C	EUC1	Enriches Ubiquitin on Chromatin	NA
YML059C	NTE1	Neuropathy Target Esterase	NA
YBR204C	LDH1	Lipid Droplet Hydrolase	NA
YOR119C	RIO1	RIght Open reading frame	NA
YNL123W	NMA111	Nuclear Mediator of Apoptosis	NA
YJL156C	SSY5	Sulfonylurea Sensitive on YPD	NA
YMR081C	ISF1	Increasing Suppression Factor	NA
YNL074C	MLF3	Multicopy suppressor of LeFlunomide sensitivity	NA
YOR344C	TYE7	Ty1-mediated Expression	NA
YBR274W	CHK1	CHeckpoint Kinase	Non-essential gene; null mutant shows abnormal cell cycle arrest following DNA damage and greatly increased rate of gross chromosomal rearrangements; null mutation confers sensitivity to selenomethionine, selenite and bleomycin; overexpression leads to slow growth
YHR079C	IRE1	Inositol REquiring	Non-essential gene; null mutation affects cell wall structure and causes increased sensitivity to Calcofluor White, tunicamycin, zymolyase, DTT, cadmium; null mutant shows inositol auxotrophy; in systematic studies null mutant grows slowly and shows decreased endocytosis, increased lifespan and sensitivity to multiple chemicals, including bleomycin, camptothecin, cicloheximide

YHR030C	SLT2	Suppressor of the LyTic phenotype	NA
YJL141C	YAK1	Yet Another Kinase	Non-essential gene; null mutant grows slowly, has increased fitness and lifespan, is sensitive to carcinogens, DNA damage, desiccation; homozygous diploid null tolerates zinc deficiency; overexpression slows growth, decreases pheromone sensitivity, enhances pseudohyphal growth

YHR082C	KSP1	Kinase Suppressing Prp20-10	NA
YKL116C	PRR1	Pheromone Response Regulator	NA
YDL214C	PRR2	Pheromone Response Regulator	NA
YOR233W	KIN4	KINase	NA
YJR059W	PTK2	Putative serine/Threonine protein Kinase	NA
YOL100W	PKH2	Pkb-activating Kinase Homolog	Non-essential gene; null mutant shows increased innate thermotolerance, chronological and replicative lifespan, and competitive fitness; homozygous null mutation in diploid decreases sporulation

YDR490C	PKH1	Pkb-activating Kinase Homolog	Non-essential gene; null mutant displays sensitivity to multiple drug,including caffeine, fluconazole, tunicamycin, hydroxyurea, bleomycin, MMS, cicloheximide

YKL048C	ELM1	ELongated Morphology	NA
YJL106W	IME2	Inducer of MEiosis	Non-essential gene; mutations increase rate of chromosome loss and reduce meiotic recombination and sporulation; overexpression causes delay in cell cycle progression through M phase and increased mitotic recombination

YBR097W	VPS15	Vacuolar Protein Sorting	Non-essential gene; null mutant is defective in vacuolar protein sorting, resulting in decreased processing, missorting, and secretion of hydrolases; internalization of endocytic cargo is decreased in the absence of Vps15p; null mutant accumulates Berkeley bodies and has a severe autophagy defect; null mutant is temperature sensitive, displays decreased resistance to alkaline and acid pH, and decreased metal resistance; null mutants and overexpressors both have decreased growth rates

YNL161W	CBK1	Cell wall Biosynthesis Kinase	Non-essential gene; null mutant has defects in actin cytoskeleton and shows abnormal budding pattern, round cell shape, crinkled colony appearance and increased cell aggregation in liquid cultures; null mutant is also defective in mating projection formation; null mutants in Sigma1278b are incapable of invasive growth
YDR436W	PPZ2	Protein Phosphatase Z	NA
YML016C	PPZ1	Protein Phosphatase Z	NA
YER167W	BCK2	Bypass of C Kinase	Non-essential gene; null mutant is auxotrophic for inositol, has decreased competitive fitness on various media but increased fitness on YPD with 6% ethanol; null mutant has an increased critical cell size requirement at START, and a large cell size in both log phase and saturated culture, while overexpression results in a cell size reduction; null mutant displays increased sensitivity to several cell wall stressors (e.g. congo red, caffeine, and calcofluor white); null mutant has increased sensitivity to mating pheromone treatment while the overexpressor is more resistant; null mutant has a reduced chronological lifespan, and decreased resistance to zinc deficiency; homozygous diploid null mutant has an elevated sporulation efficiency; overexpression results in a decreased growth rate

YDL017W	CDC7	Cell Division Cycle	Essential gene; conditional mutant arrests at the G1/S phase transition of the cell cycle as large budded cells with nuclei situated at the mother-bud neck; conditional mutants display chromosomal instability with elevated loss and gross rearrangement at semi-permissive temperatures; sporulation is absent in diploids at the non-permissive temperature with cells arresting in meiosis after pre-meiotic DNA replication and SPB duplication but before spindle formation in meiosis I and SC formation; mutants are sensitive to DNA damaging agents

YPR111W	DBF20	DumbBell Forming	Non-essential gene; null mutants show increased replicative lifespan and competitive fitness, decreased transposition of transposable elements, and are sensitive to streptomycin, ethanol, and chelator BAPTA; homozygous diploid nulls are sensitive to carcinogen dieldrin; overexpression is lethal due to defects in G2 cell cycle progression and budding

YGR092W	DBF2	DumbBell Former	Non-essential gene; null mutation causes increased glycogen accumulation and elevated sensitivity to nicotinamide, sorbic acid, cadmium and nickel; in systematic studies mutants produce abnormally elongated buds, show reduced competitive fitness and exhibit increased sensitivity to numerous chemicals, including caffeine, hydroxyurea, MMS, rapamycin, cycloheximide
YBR059C	AKL1	Ark family Kinase-Like protein	Non-essential gene; null mutant shows increased sensitivity to mating pheromone and doxorubicin; overexpression leads to decreased endocytosis and elevated resistance to doxorubicin; in systematic studies null mutant shows reduced competitive fitness and increased excretion of glutathione; both null mutation and overexpression cause slow growth

YNL020C	ARK1	Actin Regulating Kinase	Non-essential gene; null mutant shows increased sensitivity to amitrole and decreased ability to utilize arginine as nitrogen source; overexpression reduces growth rate

YNR047W	FPK1	FliPase Kinase 1	NA
YIL095W	PRK1	p53 Regulatory Kinase	NA
YDL108W	KIN28	protein KINase	NA
YCR008W	SAT4	NA	NA
YPL208W	RKM1	Ribosomal lysine (K) Methyltransferase	NA
YKR076W	ECM4	ExtraCellular Mutant	NA
YHR114W	BZZ1	NA	Non-essential gene; null mutant shows defective internalization of endocytosis reporters; in systematic studies null mutant shows increased competitive fitness
YDL117W	CYK3	CYtoKinesis	Non-essential gene; null mutant is defective in cytokinesis and displays abnormally shaped bud necks, slow growth rate and increased chromosome instability; in a systematic study, Sigma1278b mutants have defects in filamentous and invasive growth; in other systematic studies mutants are sensitive to Calcofluor White, caffeine, rapamycin, and resistant to tunicamycin, hydroxyurea and cycloheximide
YDL223C	HBT1	HuB1 Target	NA
YJL122W	ALB1	Arx1 Little Brother	Non-essential gene; null mutant is sensitive to cycloheximide and fenpropimorph, but resistant to bleaomycin, caffeine, camptothecin and tunicamycin; overexpression causes slow growth

YDR292C	SRP101	Signal Recognition Particle	Essential gene in the S288C genetic background, non-essential in the Sigma1278b background; ts mutant mis-localizes polarity and secretion factor mRNAs to the mother cell instead of to the bud tip at the restrictive temperature; in large-scale studies, repression causes increased competitive fitness and abnormal mitochondrial morphology; conditional mutant displays chromosome instability; null mutation in Sigma1278b background blocks invasive growth and decreases biofilm formation

YKL154W	SRP102	Signal Recognition Particle	NA
YDL092W	SRP14	Signal Recognition Particle	NA
YPR088C	SRP54	Signal Recognition Particle 54-kD subunit	NA
YDL159W	STE7	STErile	NA
YLR362W	STE11	STErile	Non-essential gene; conditional mutant is pheromone resistant, being unable to undergo pheromone-induced cell cycle arrest or form shmoos, unable to produce mating pheromone Mfa1p/2p and is sterile; null mutant has strong pseudohyphal and invasive growth defects, is sensitive to hyperosmotic stress and hypersensitive to enzymatic treatment with zymolyase; constitutively active mutant has enhanced pseudohyphal growth, a vegetative growth defect and displays activation-related phosphorylation of MAPKs Fus3p and Kss1p in the absence of mating pheromone; heterozygous diploid null is haploinsufficient

YCR097W	HMRA1	Hidden Mat Right A	NA
YCR096C	HMRA2	Hidden Mat Right A	NA
YCL066W	HMLALPHA1	Hidden Mat Left ALPHA	NA
YCL067C	HMLALPHA2	Hidden Mat Left ALPHA	NA
YLR442C	SIR3	Silent Information Regulator	Non-essential gene; null mutant has reduced replicative lifespan and is pheromone-unresponsive; conditional mutant is sterile, unable to shmoo, or arrest the cell cycle in the presence of pheromone and produces very low levels of mating pheromone; conditional mutant has a bipolar budding pattern like diploids; haploinsufficiency in the heterozygous null mutant is associated with elevated chromosomal instability; homozygous diploid null mutant has abnormal meiosis with delayed centromere clustering, bouquet formation, homologue pairing, and meiotic divisions; overexpression results in a decreased growth rate

YLR345W	NA	NA	NA
YDL220C	CDC13	Cell Division Cycle	Essential gene; conditional mutant displays a large budded cell cycle arrest with nuclei situated at the mother-bud neck; allele specific increase or decrease in telomere length; overexpression results in decreased growth rate, increased cell size, and altered cell cycle progression in G2 phase; some mutants display increased senescence, colony sectoring and apoptosis; homozygous conditional mutant is unable to sporulate

YGR258C	RAD2	RADiation sensitivity	Non-essential gene; null mutant is sensitive to DNA damaging agents and UV radiation; reduction of function mutant has an elevated mutation frequency in the presence of radiomimetics; null mutant has a decreased vegetative growth rate, decreased metal resistance, decreased starvation resistance and decreased chronological lifespan; overexpression results in a decreased growth rate and delayed cell cycle progression, while high level overexpression results in growth arrest, increased cell size, and mitotic catastrophe; heterozygous diploid null is haploinsufficient

YPL022W	RAD1	RADiation sensitive	Non-essential gene; null mutant is sensitive to a variety of DNA damaging agents and synthesis inhibitors; null mutant is sensitive to X-rays and UV radiation; null displays elevated chromosome loss and instability, decreased recombination and elevated mutation frequency; null mutant has a decreased duration of G1 phase, a decreased rate of glutamine utilization; null mutant has decreased resistance to zinc deficiency, oxidative stress and desiccation; overexpression enhances invasive growth

YML095C	RAD10	RADiation sensitive	NA
YKL108W	SLD2	Synthetically Lethal with Dpb11-1	NA
YDR227W	SIR4	Silent Information Regulator	Non-essential gene; null mutant has reduced replicative lifespan, while the gain-of-function mutant has increased lifespan, but the lifespan of the homozygous diploid null is unchanged; reduction-of-function mutant displays decreased silencing at the silent mating type cassettes, HMR and HML, and overexpression decreases silencing at HMR, HML and telomeres; null mutant has decreased filamentous growth and is unable to undergo invasive growth; null mutant has an increased rate of chromosome loss, and both null and overexpressor have decreased telomere length; null mutant does not respond to alpha factor and conditional mutant is sterile, unable to shmoo or arrest the cell cycle in the presence of pheromone and produces very low levels of mating pheromone; conditional mutant has a bipolar budding pattern like diploids

YDL227C	HO	HOmothallic switching endonuclease	NA
YKL023W	SKA1	SKi Associated factor	NA
YLR398C	SKI2	SuperKIller	NA
YPR189W	SKI3	SuperKIller	NA
YGL213C	SKI8	SuperKIller	NA
YPR036W-A	SPO24	SPOrulation	NA
YDR171W	HSP42	Heat Shock Protein	NA
YBR072W	HSP26	Heat Shock Protein	Non-essential gene; null mutation causes slow fermentative growth while overexpression confers increased growth rate; overexpression confers resistance to ethanol and high glucose concentrations; in large-scale studies, null mutant shows reduced competitive fitness and starvation resistance, and is sensitive to ethanol and other chemicals

YDR276C	PMP3	Plasma Membrane Proteolipid	NA
YLR229C	CDC42	Cell Division Cycle	Essential gene; conditional mutant arrests as large, unbudded cells and repressible mutant displays a G1 phase cell cycle defect; conditional mutant affects the polarized localization of Sec3p and Sec5p to emerging bud sites, bud tips, and bud necks; mutants with a reduction-of-function allele have a bilateral cell fusion defect; conditional mutant displays increased chromosomal instability; heterozygous diploid shows haploinsufficiency

YOR303W	CPA1	Carbamyl Phosphate synthetase A	Non-essential gene; null mutation confers arginine auxotrophy, and increased sensitivity to ferrozine, cobalt and fluorouracil; overexpression causes increased resistance to flucytosine, fluorouracil, azauracil, methotrexate, and rapamycin; in systematic studies mutants display reduced anaerobic growth rate, decreased competitive fitness, and sensitivity to hygromycin B, neomycin, amitrole, and strong vacuolar fragmentation
YLR170C	APS1	clathrin Associated Protein complex Small subunit	Non-essential gene; null mutant is defective in vacuolar protein transport and shows severe vacuolar fragmentation, decreased endocytosis and reduced competitive fitness; in diploids homozygous null mutation increases sensitivity to multiple drugs, including cordycepin, actinomycin D, hygromycin B, nigericin, triazoles

YJR058C	APS2	clathrin Associated Protein complex Small subunit	Non-essential gene; in systematic studies null mutant is sensitive to ferrous ion chelator ferrozine, shows elevated accumulation of cadmium and manganese, and reduced competitive fitness

YJL024C	APS3	clathrin Associated Protein complex Small subunit	Non-essential gene; null mutant is defective in vacuolar protein transport and shows severe vacuolar fragmentation and reduced competitive fitness; in systematic studies null mutants are sensitive to ethanol; in diploids homozygous null mutation causes increased sensitivity to multiple drugs, including actinomycin D, bleomycin, caffeine, hygromycin B

YPL178W	CBC2	Cap Binding Complex	Non-essential gene; null mutant displays sensitivity to 6-azauridine and mycophenolic acid; in systematic studies null mutants show reduced competitive fitness, increased telomere length, decreased sporulation in homozygous diploids
YJL069C	UTP18	U Three Protein	NA
YLL062C	MHT1	S-Methylmethionine-Homocysteine methylTransferase	NA
YDR164C	SEC1	SECretory	NA
YHR123W	EPT1	EthanolaminePhosphoTransferase	NA
YAL019W	FUN30	Function Unknown Now	Non-essential gene, null mutant shows decreased silencing at telomeres, rDNA and siilent mating loci and also chromosome segregation defects;

YPR057W	BRR1	Bad Response to Refrigeration	Non-essential gene; null mutant is heat sensitive, has a decreased fermentative growth rate, decreased competitive fitness on standard growth media, but an increased respiratory growth rate; conditional mutant is cold sensitive and has a defect in the accumulation of spliceosomal snRNAs; null mutant has a cell polarity defect with hyperpolarized cells and elongated buds; null mutant has decreased resistance to oxidative stress, zinc deficiency, killer toxin, and dessication; null mutant displays enhanced glycogen accumulation and altered accumulation of alpha-amino acids; homozygous diploid null has a sporulation defect; heterozygous null mutant is haploinsufficient
YEL047C	FRD1	Fumarate ReDuctase	NA
YBR164C	ARL1	ADP-Ribosylation factor-Like	Non-essential gene; null mutant has fragmented vacuoles and shows increased sensitivity to protein glycosylation inhibitor, tunicamycin, and cell wall-affecting dye, Congo Red

YDL246C	SOR2	NA	NA
YJR159W	SOR1	NA	NA
YPR158W	CUR1	Curing of [URe3]	Non-essential gene; null mutant shows increased formation of [URE3] prion; in systematic studies, overexpression increases chromosome loss and rearrangements
YJL036W	SNX4	Sorting NeXin	NA
YDR425W	SNX41	Sorting NeXin	NA
YDL113C	ATG20	AuTophaGy related	Non-essential gene; null mutant is defective in the CVT pathway, mitophagy and pexophagy but not autophagy; null mutant has decreased biofilm forming ability, decreased acid pH resistance, decreased resistance to zinc, and a reduced chronological lifespan; null mutant has increase innate thermotolerance; null mutant displays abnormal accumulation of polyphosphate and decreased potassium ion accumulation; null mutant has increased competitive fitness on minimal medium and glycerol-containing medium; overexpression results in increased invasive growth

YOR357C	SNX3	Sorting NeXin	NA
YGL018C	JAC1	J-type Accessory Chaperone	Essential gene; reduction of function leads to slow growth, sensitivity to benomyl, tunicamycin and MMS

YIR012W	SQT1	Suppressor of QSR1 Truncations	NA
YMR131C	RRB1	Regulator of Ribosome Biogenesis	NA
YDR161W	ACL4	Assembly Chaperone of RpL4	NA
YKL124W	SSH4	Suppressor of SHr3 deletion	NA
YMR171C	EAR1	Endosomal Adaptor of Rsp5p	NA
YLR067C	PET309	PETite colonies	NA
YDR350C	ATP22	ATPase synthase	Non-essential gene; null mutation causes "petite" phenotype - slow growth on glucose and no growth with non-fermentable carbon sources, indicating respiratory deficiency; null mutant also shows increased frequency of mitochondrial genome loss (rho- mutations); in systematic studies null mutants are sensitive to caspofungin, Congo Red, hydroxyurea

YIL070C	MAM33	Mitochondrial Acidic Matrix protein	NA
YLR203C	MSS51	Mitochondrial Splicing Suppressor	NA
YPR069C	SPE3	SPErmidine auxotroph	NA
YLR146C	SPE4	SPErmidine auxotroph	NA
YCL061C	MRC1	Mediator of the Replication Checkpoint	Non-essential gene; null mutant shows increased duration of the S phase of the cell cycle and increased chromosome instability; null mutation results in constitutive phosphorylation of Rad53p; null mutants are sensitive to some chemicals, including benomyl, hydroxyurea, MMS, myriocin, quinine, but show increased resistance to other chemicals, including camptothecin, fluconazole, mycophenolic acid; null mutation increases transposition of Ty elements

YDR297W	SUR2	SUppressor of Rvs161 and rvs167 mutations	NA
YOR171C	LCB4	Long-Chain Base	NA
YMR272C	SCS7	Suppressor of Ca2+ Sensitivity	NA
YDR130C	FIN1	Filaments In between Nuclei	NA
YLR457C	NBP1	Nap1 Binding Protein	NA
YPL269W	KAR9	KARyogamy	NA
YGR278W	CWC22	Complexed With Cef1p	Essential gene; reduction of function causes decreased fitness in a competitive growth study
YPR178W	PRP4	Pre-mRNA Processing	NA
